id;cca2;continents;currencies;flag;languages;population;capital;bbox
088f7886-8dc7-4856-9ef4-165d6ec40f87;CU;North America;Cuban convertible peso,Cuban peso;🇨🇺;Spanish;9748007;Havana;-84.8872070313,19.85546875,-74.1368164063,23.1904296875
beb6f369-639f-42b2-b17d-20c085ae8efa;NR;Oceania;Australian dollar;🇳🇷;English,Nauru;11680;Yaren;166.90703125,-0.55078125,166.958398438,-0.48935546875
daeba2d2-f872-475a-ac90-b16f7c6eda67;ES;Europe;euro;🇪🇸;Spanish,Catalan,Basque,Galician;49315949;Madrid;-18.160546875,27.6463867188,4.3220703125,43.7645507812
68caa18f-8217-4291-9518-35a775f2b813;KW;Asia;Kuwaiti dinar;🇰🇼;Arabic;4881254;Kuwait City;46.5314453125,28.5331542969,48.4424804688,30.0973144531
8339997a-af41-41a5-b218-6cc2a1ba44c3;MU;Africa;Mauritian rupee;🇲🇺;English,French,Mauritian Creole;1243741;Port Louis;57.3176757813,-20.5131835938,57.7919921875,-19.9899414063
11f3ed93-da8d-464d-a0a7-9f4d24692e56;SE;Europe;Swedish krona;🇸🇪;Swedish;10605098;Stockholm;11.1471679688,55.3463867188,24.15546875,69.0368652344
e69e6c1f-010d-45df-b453-7d3bd7629337;AU;Oceania;Australian dollar;🇦🇺;English;27536874;Canberra;112.908203125,-54.74921875,158.958886719,-10.0517578125
21694cb3-df17-4a19-8eba-1f7495f982d5;CM;Africa;Central African CFA franc;🇨🇲;English,French;29442327;Yaoundé;8.5328125,1.67622070312,16.1833984375,13.078515625
e6f05a20-0a98-42e3-a1fe-ccf11299c6a2;EC;South America;United States dollar;🇪🇨;Spanish;18103660;Quito;-91.6541503906,-4.990625,-75.249609375,1.45537109375
2d2ace4b-60c1-403f-8b14-c2909ab9006c;QA;Asia;Qatari riyal;🇶🇦;Arabic;3173024;Doha;50.7545898438,24.5646484375,51.6088867188,26.1532714844
